,医院名称,年手术台数,当前HC,推广费用,产品A价格,产品A份额,产品B价格,产品B份额,产品C价格,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌,HC敏感度,推广敏感度,价格敏感度,HC下限,产品A均价,产品B均价,产品C均价
0,中型医院1,913,0.25948000000000004,12065.82,750,0,350,60,250,40,0.25948000000000004,14478.984,753,353,253,0,0,0,1.2,1.0,1.0,0,600,480,320
1,中型医院10,700,0.182,8463.0,750,0,350,60,250,40,0.182,10155.6,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
2,中型医院11,650,0.16899999999999998,7858.5,750,0,350,60,250,40,0.16899999999999998,9430.2,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
3,中型医院12,600,0.156,7254.0,750,0,350,60,250,40,0.156,8704.8,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
4,中型医院13,550,0.0,6649.5,750,0,350,60,250,40,0.0,7979.4,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
5,中型医院14,500,0.0,6045.0,750,0,350,60,250,40,0.0,7254.0,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
6,中型医院15,450,0.0,5440.5,750,0,350,60,250,40,0.0,6528.5999999999985,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
7,中型医院16,450,0.0,5440.5,750,0,350,60,250,40,0.0,6528.5999999999985,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
8,中型医院17,450,0.0,5440.5,750,0,350,60,250,40,0.0,6528.5999999999985,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
9,中型医院18,450,0.0,5440.5,750,0,350,60,250,40,0.0,6528.5999999999985,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
10,中型医院19,450,0.0,5440.5,750,0,350,60,250,40,0.0,6528.5999999999985,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
11,中型医院2,925,0.2405,11183.25,750,0,350,60,250,40,0.2405,13419.9,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
12,中型医院20,400,0.0,4836.0,750,0,350,60,250,40,0.0,5803.2,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
13,中型医院3,900,0.23399999999999999,10881.0,750,0,350,60,250,40,0.23399999999999999,13057.2,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
14,中型医院4,850,0.221,10276.5,750,0,350,60,250,40,0.221,12331.8,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
15,中型医院5,800,0.20800000000000002,9672.0,750,0,350,60,250,40,0.20800000000000002,11606.4,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
16,中型医院6,800,0.20800000000000002,9672.0,750,0,350,60,250,40,0.20800000000000002,11606.4,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
17,中型医院7,800,0.20800000000000002,9672.0,750,0,350,60,250,40,0.20800000000000002,11606.4,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
18,中型医院8,800,0.20800000000000002,9672.0,750,0,350,60,250,40,0.20800000000000002,11606.4,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
19,中型医院9,750,0.195,9067.5,750,0,350,60,250,40,0.195,10881.0,750,350,250,0,0,0,1.2,1.0,1.0,0,600,480,320
20,大型医院1,5000,0.9,41850.0,750,0,350,60,250,40,0.9,50220.0,750,350,250,1,1,1,1.2,1.2,0.8,0,600,480,320
21,大型医院10,1500,0.27,12555.0,750,0,350,60,250,40,0.27,15066.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
22,大型医院11,1500,0.27,12555.0,750,0,350,60,250,40,0.27,15066.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
23,大型医院12,1200,0.21600000000000003,10044.0,750,0,350,60,250,40,0.21600000000000003,12052.8,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
24,大型医院13,1200,0.21600000000000003,10044.0,750,0,350,60,250,40,0.21600000000000003,12052.8,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
25,大型医院14,1200,0.21600000000000003,10044.0,750,0,350,60,250,40,0.21600000000000003,12052.8,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
26,大型医院15,1000,0.18,8370.0,750,0,350,60,250,40,0.18,10044.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
27,大型医院16,1000,0.18,8370.0,750,0,350,60,250,40,0.18,10044.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
28,大型医院17,1000,0.18,8370.0,750,0,350,60,250,40,0.18,10044.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
29,大型医院18,1000,0.18,8370.0,750,0,350,60,250,40,0.18,10044.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
30,大型医院19,1000,0.18,8370.0,750,0,350,60,250,40,0.18,10044.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
31,大型医院2,4500,0.81,37665.0,750,0,350,60,250,40,0.81,45198.0,750,350,250,1,1,1,1.2,1.2,0.8,0,600,480,320
32,大型医院3,3000,0.54,25110.0,750,0,350,60,250,40,0.54,30132.0,750,350,250,1,1,1,1.2,1.2,0.8,0,600,480,320
33,大型医院4,2500,0.45,20925.0,750,0,350,60,250,40,0.45,25110.0,750,350,250,1,1,1,1.2,1.2,0.8,0,600,480,320
34,大型医院5,2000,0.36,16740.0,750,0,350,60,250,40,0.36,20088.0,750,350,250,1,1,1,1.2,1.2,0.8,0,600,480,320
35,大型医院6,1500,0.27,12555.0,750,0,350,60,250,40,0.27,15066.0,750,350,250,1,1,1,1.2,1.2,0.8,0,600,480,320
36,大型医院7,1500,0.27,12555.0,750,0,350,60,250,40,0.27,15066.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
37,大型医院8,1500,0.27,12555.0,750,0,350,60,250,40,0.27,15066.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
38,大型医院9,1500,0.27,12555.0,750,0,350,60,250,40,0.27,15066.0,750,350,250,0,0,0,1.2,1.2,0.8,0,600,480,320
39,小型医院1,380,0.0,5301.0,750,0,350,60,250,40,0.0,6361.2,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
40,小型医院10,200,0.0,2790.0,750,0,350,60,250,40,0.0,3348.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
41,小型医院11,200,0.0,2790.0,750,0,350,60,250,40,0.0,3348.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
42,小型医院12,200,0.0,2790.0,750,0,350,60,250,40,0.0,3348.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
43,小型医院13,200,0.0,2790.0,750,0,350,60,250,40,0.0,3348.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
44,小型医院14,200,0.0,2790.0,750,0,350,60,250,40,0.0,3348.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
45,小型医院15,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
46,小型医院16,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
47,小型医院17,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
48,小型医院18,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
49,小型医院19,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
50,小型医院2,360,0.0,5022.0,750,0,350,60,250,40,0.0,6026.4,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
51,小型医院20,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
52,小型医院21,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
53,小型医院22,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
54,小型医院23,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
55,小型医院24,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
56,小型医院25,200,0.0,3255.0,750,0,350,60,250,40,0.0,3906.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
57,小型医院3,340,0.0,4743.0,750,0,350,60,250,40,0.0,5691.5999999999985,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
58,小型医院4,320,0.0,4464.0,750,0,350,60,250,40,0.0,5356.8,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
59,小型医院5,300,0.0,4185.0,750,0,350,60,250,40,0.0,5022.0,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
60,小型医院6,280,0.0,3906.0,750,0,350,60,250,40,0.0,4687.2,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
61,小型医院7,260,0.0,3627.0,750,0,350,60,250,40,0.0,4352.4,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
62,小型医院8,240,0.0,3348.0,750,0,350,60,250,40,0.0,4017.6,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
63,小型医院9,220,0.0,3069.0,750,0,350,60,250,40,0.0,3682.8,750,350,250,0,0,0,1.0,0.8,1.2,0,600,480,320
