医院名称,年手术台数,HC敏感度,推广敏感度,价格敏感度,当前HC,HC下限,推广费用,产品A价格,产品A均价,产品A份额,产品B价格,产品B均价,产品B份额,产品C价格,产品C均价,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌
中型医院1,911,1.2,1.0,1.0,0.17964000000000002,0,6035.904,800,600,0,500,480,60,300,320,40,0.17964000000000002,7243.0848,801,501,301,0,0,0
中型医院10,700,1.2,1.0,1.0,0.126,0,4233.6,800,600,0,500,480,60,300,320,40,0.126,5080.3200000000015,800,500,300,0,0,0
中型医院11,650,1.2,1.0,1.0,0.117,0,3931.2,800,600,0,500,480,60,300,320,40,0.117,4717.440000000001,800,500,300,0,0,0
中型医院12,600,1.2,1.0,1.0,0.108,0,3628.8,800,600,0,500,480,60,300,320,40,0.108,4354.56,800,500,300,0,0,0
中型医院13,550,1.2,1.0,1.0,0.099,0,3326.4,800,600,0,500,480,60,300,320,40,0.099,3991.68,800,500,300,0,0,0
中型医院14,500,1.2,1.0,1.0,0.09,0,3024.0,800,600,0,500,480,60,300,320,40,0.09,3628.8,800,500,300,0,0,0
中型医院15,450,1.2,1.0,1.0,0.081,0,2721.6,800,600,0,500,480,60,300,320,40,0.081,3265.92,800,500,300,0,0,0
中型医院16,450,1.2,1.0,1.0,0.081,0,2721.6,800,600,0,500,480,60,300,320,40,0.081,3265.92,800,500,300,0,0,0
中型医院17,450,1.2,1.0,1.0,0.081,0,2721.6,800,600,0,500,480,60,300,320,40,0.081,3265.92,800,500,300,0,0,0
中型医院18,450,1.2,1.0,1.0,0.081,0,2721.6,800,600,0,500,480,60,300,320,40,0.081,3265.92,800,500,300,0,0,0
中型医院19,450,1.2,1.0,1.0,0.081,0,2721.6,800,600,0,500,480,60,300,320,40,0.081,3265.92,800,500,300,0,0,0
中型医院2,925,1.2,1.0,1.0,0.1665,0,5594.400000000002,800,600,0,500,480,60,300,320,40,0.1665,6713.2800000000025,800,500,300,0,0,0
中型医院20,400,1.2,1.0,1.0,0.07200000000000001,0,2419.2,800,600,0,500,480,60,300,320,40,0.07200000000000001,2903.0399999999995,800,500,300,0,0,0
中型医院3,900,1.2,1.0,1.0,0.162,0,5443.2,800,600,0,500,480,60,300,320,40,0.162,6531.839999999997,800,500,300,0,0,0
中型医院4,850,1.2,1.0,1.0,0.153,0,5140.8,800,600,0,500,480,60,300,320,40,0.153,6168.96,800,500,300,0,0,0
中型医院5,800,1.2,1.0,1.0,0.14400000000000002,0,4838.4,800,600,0,500,480,60,300,320,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0
中型医院6,800,1.2,1.0,1.0,0.14400000000000002,0,4838.4,800,600,0,500,480,60,300,320,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0
中型医院7,800,1.2,1.0,1.0,0.14400000000000002,0,4838.4,800,600,0,500,480,60,300,320,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0
中型医院8,800,1.2,1.0,1.0,0.14400000000000002,0,4838.4,800,600,0,500,480,60,300,320,40,0.14400000000000002,5806.079999999999,800,500,300,0,0,0
中型医院9,750,1.2,1.0,1.0,0.135,0,4536.0,800,600,0,500,480,60,300,320,40,0.135,5443.2,800,500,300,0,0,0
大型医院1,5000,1.2,1.2,0.8,2.5,0,84000.0,800,600,0,500,480,60,300,320,40,2.5,100800.0,800,500,300,1,1,1
大型医院10,1500,1.2,1.2,0.8,0.75,0,25200.0,800,600,0,500,480,60,300,320,40,0.75,30240.0,800,500,300,0,0,0
大型医院11,1500,1.2,1.2,0.8,0.75,0,25200.0,800,600,0,500,480,60,300,320,40,0.75,30240.0,800,500,300,0,0,0
大型医院12,1200,1.2,1.2,0.8,0.6,0,20160.0,800,600,0,500,480,60,300,320,40,0.6,24192.0,800,500,300,0,0,0
大型医院13,1200,1.2,1.2,0.8,0.6,0,20160.0,800,600,0,500,480,60,300,320,40,0.6,24192.0,800,500,300,0,0,0
大型医院14,1200,1.2,1.2,0.8,0.6,0,20160.0,800,600,0,500,480,60,300,320,40,0.6,24192.0,800,500,300,0,0,0
大型医院15,1000,1.2,1.2,0.8,0.5,0,16800.0,800,600,0,500,480,60,300,320,40,0.5,20160.0,800,500,300,0,0,0
大型医院16,1000,1.2,1.2,0.8,0.5,0,16800.0,800,600,0,500,480,60,300,320,40,0.5,20160.0,800,500,300,0,0,0
大型医院17,1000,1.2,1.2,0.8,0.5,0,16800.0,800,600,0,500,480,60,300,320,40,0.5,20160.0,800,500,300,0,0,0
大型医院18,1000,1.2,1.2,0.8,0.5,0,16800.0,800,600,0,500,480,60,300,320,40,0.5,20160.0,800,500,300,0,0,0
大型医院19,1000,1.2,1.2,0.8,0.5,0,16800.0,800,600,0,500,480,60,300,320,40,0.5,20160.0,800,500,300,0,0,0
大型医院2,4500,1.2,1.2,0.8,2.25,0,75600.0,800,600,0,500,480,60,300,320,40,2.25,90720.0,800,500,300,1,1,1
大型医院3,3000,1.2,1.2,0.8,1.5,0,50400.0,800,600,0,500,480,60,300,320,40,1.5,60480.0,800,500,300,1,1,1
大型医院4,2500,1.2,1.2,0.8,1.25,0,42000.0,800,600,0,500,480,60,300,320,40,1.25,50400.0,800,500,300,1,1,1
大型医院5,2000,1.2,1.2,0.8,1.0,0,33600.0,800,600,0,500,480,60,300,320,40,1.0,40320.0,800,500,300,1,1,1
