,医院名称,年手术台数,HC敏感度,推广敏感度,价格敏感度,当前HC,份额,HC下限,推广费用,产品A价格,产品A均价,产品A份额,产品B价格,产品B均价,产品B份额,产品C价格,产品C均价,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌
0,中型医院1,998,1.2,1.0,1.0,0.17964000000000002,0.18023943915153695,0,7243.0848,800,712.5,0,500,387.5,0,300,200.0,0,0.17964000000000002,7243.0848,800,500,300,0,0,0
1,中型医院10,700,1.2,1.0,1.0,0.126,0.18023943915153695,0,5080.3200000000015,800,712.5,0,500,387.5,0,300,200.0,0,0.126,5080.3200000000015,800,500,300,0,0,0
2,中型医院11,650,1.2,1.0,1.0,0.117,0.18023943915153695,0,4717.440000000001,800,712.5,0,500,387.5,0,300,200.0,0,0.117,4717.440000000001,800,500,300,0,0,0
3,中型医院12,600,1.2,1.0,1.0,0.108,0.18023943915153695,0,4354.56,800,712.5,0,500,387.5,0,300,200.0,0,0.108,4354.56,800,500,300,0,0,0
4,中型医院13,550,1.2,1.0,1.0,0.099,0.1802394391515369,0,3991.68,800,712.5,0,500,387.5,0,300,200.0,0,0.099,3991.68,800,500,300,0,0,0
5,中型医院14,500,1.2,1.0,1.0,0.09,0.18023943915153695,0,3628.8,800,712.5,0,500,387.5,0,300,200.0,0,0.09,3628.8,800,500,300,0,0,0
6,中型医院15,450,1.2,1.0,1.0,0.081,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0.081,3265.92,800,500,300,0,0,0
7,中型医院16,450,1.2,1.0,1.0,0.081,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0.081,3265.92,800,500,300,0,0,0
8,中型医院17,450,1.2,1.0,1.0,0.081,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0.081,3265.92,800,500,300,0,0,0
9,中型医院18,450,1.2,1.0,1.0,0.081,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0.081,3265.92,800,500,300,0,0,0
