,医院名称,年手术台数,HC敏感度,推广敏感度,价格敏感度,当前HC,份额,HC下限,推广费用,产品A价格,产品A均价,产品A份额,产品B价格,产品B均价,产品B份额,产品C价格,产品C均价,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌
0,中型医院1,998,1.2,1.0,1.0,0.25948000000000004,0.29679726766133385,0,14478.983999999999,750,712.5,0,350,387.5,0,250,200.0,1,0.25948000000000004,14478.983999999999,750,350,250,0,0,0
1,中型医院10,700,1.2,1.0,1.0,0.182,0.2967972676613339,0,10155.6,750,712.5,0,350,387.5,0,250,200.0,1,0.182,10155.6,750,350,250,0,0,0
2,中型医院11,650,1.2,1.0,1.0,0.16899999999999998,0.29679726766133385,0,9430.2,750,712.5,0,350,387.5,0,250,200.0,1,0.16899999999999998,9430.2,750,350,250,0,0,0
3,中型医院12,600,1.2,1.0,1.0,0.156,0.29679726766133385,0,8704.8,750,712.5,0,350,387.5,0,250,200.0,1,0.156,8704.8,750,350,250,0,0,0
4,中型医院13,550,1.2,1.0,1.0,0.0,0.29679726766133385,0,7979.4,750,712.5,0,350,387.5,0,250,200.0,1,0.0,7979.4,750,350,250,0,0,0
5,中型医院14,500,1.2,1.0,1.0,0.0,0.29679726766133385,0,7254.0,750,712.5,0,350,387.5,0,250,200.0,1,0.0,7254.0,750,350,250,0,0,0
6,中型医院15,450,1.2,1.0,1.0,0.0,0.29679726766133385,0,6528.5999999999985,750,712.5,0,350,387.5,0,250,200.0,1,0.0,6528.5999999999985,750,350,250,0,0,0
7,中型医院16,450,1.2,1.0,1.0,0.0,0.29679726766133385,0,6528.5999999999985,750,712.5,0,350,387.5,0,250,200.0,1,0.0,6528.5999999999985,750,350,250,0,0,0
8,中型医院17,450,1.2,1.0,1.0,0.0,0.29679726766133385,0,6528.5999999999985,750,712.5,0,350,387.5,0,250,200.0,1,0.0,6528.5999999999985,750,350,250,0,0,0
9,中型医院18,450,1.2,1.0,1.0,0.0,0.29679726766133385,0,6528.5999999999985,750,712.5,0,350,387.5,0,250,200.0,1,0.0,6528.5999999999985,750,350,250,0,0,0
10,中型医院19,450,1.2,1.0,1.0,0.0,0.29679726766133385,0,6528.5999999999985,750,712.5,0,350,387.5,0,250,200.0,1,0.0,6528.5999999999985,750,350,250,0,0,0
11,中型医院2,925,1.2,1.0,1.0,0.2405,0.29679726766133385,0,13419.9,750,712.5,0,350,387.5,0,250,200.0,1,0.2405,13419.9,750,350,250,0,0,0
12,中型医院20,400,1.2,1.0,1.0,0.0,0.29679726766133385,0,5803.2,750,712.5,0,350,387.5,0,250,200.0,1,0.0,5803.2,750,350,250,0,0,0
13,中型医院3,900,1.2,1.0,1.0,0.234,0.29679726766133385,0,13057.2,750,712.5,0,350,387.5,0,250,200.0,1,0.234,13057.2,750,350,250,0,0,0
14,中型医院4,850,1.2,1.0,1.0,0.221,0.29679726766133385,0,12331.8,750,712.5,0,350,387.5,0,250,200.0,1,0.221,12331.8,750,350,250,0,0,0
15,中型医院5,800,1.2,1.0,1.0,0.208,0.29679726766133385,0,11606.4,750,712.5,0,350,387.5,0,250,200.0,1,0.208,11606.4,750,350,250,0,0,0
16,中型医院6,800,1.2,1.0,1.0,0.208,0.29679726766133385,0,11606.4,750,712.5,0,350,387.5,0,250,200.0,1,0.208,11606.4,750,350,250,0,0,0
17,中型医院7,800,1.2,1.0,1.0,0.208,0.29679726766133385,0,11606.4,750,712.5,0,350,387.5,0,250,200.0,1,0.208,11606.4,750,350,250,0,0,0
18,中型医院8,800,1.2,1.0,1.0,0.208,0.29679726766133385,0,11606.4,750,712.5,0,350,387.5,0,250,200.0,1,0.208,11606.4,750,350,250,0,0,0
19,中型医院9,750,1.2,1.0,1.0,0.195,0.29679726766133385,0,10881.0,750,712.5,0,350,387.5,0,250,200.0,1,0.195,10881.0,750,350,250,0,0,0
20,大型医院1,5000,1.2,1.2,0.8,0.9,0.20400636604774533,0,50220.0,750,712.5,0,350,387.5,0,250,200.0,0,0.9,50220.0,750,350,250,1,1,1
21,大型医院10,1500,1.2,1.2,0.8,0.27,0.20400636604774533,0,15066.0,750,712.5,0,350,387.5,0,250,200.0,1,0.27,15066.0,750,350,250,0,0,0
22,大型医院11,1500,1.2,1.2,0.8,0.27,0.20400636604774533,0,15066.0,750,712.5,0,350,387.5,0,250,200.0,1,0.27,15066.0,750,350,250,0,0,0
23,大型医院12,1200,1.2,1.2,0.8,0.21600000000000005,0.20400636604774533,0,12052.8,750,712.5,0,350,387.5,0,250,200.0,1,0.21600000000000005,12052.8,750,350,250,0,0,0
24,大型医院13,1200,1.2,1.2,0.8,0.21600000000000005,0.20400636604774533,0,12052.8,750,712.5,0,350,387.5,0,250,200.0,1,0.21600000000000005,12052.8,750,350,250,0,0,0
25,大型医院14,1200,1.2,1.2,0.8,0.21600000000000005,0.20400636604774533,0,12052.8,750,712.5,0,350,387.5,0,250,200.0,1,0.21600000000000005,12052.8,750,350,250,0,0,0
26,大型医院15,1000,1.2,1.2,0.8,0.18,0.20400636604774533,0,10044.0,750,712.5,0,350,387.5,0,250,200.0,1,0.18,10044.0,750,350,250,0,0,0
27,大型医院16,1000,1.2,1.2,0.8,0.18,0.20400636604774533,0,10044.0,750,712.5,0,350,387.5,0,250,200.0,1,0.18,10044.0,750,350,250,0,0,0
28,大型医院17,1000,1.2,1.2,0.8,0.18,0.20400636604774533,0,10044.0,750,712.5,0,350,387.5,0,250,200.0,1,0.18,10044.0,750,350,250,0,0,0
29,大型医院18,1000,1.2,1.2,0.8,0.18,0.20400636604774533,0,10044.0,750,712.5,0,350,387.5,0,250,200.0,1,0.18,10044.0,750,350,250,0,0,0
30,大型医院19,1000,1.2,1.2,0.8,0.18,0.20400636604774533,0,10044.0,750,712.5,0,350,387.5,0,250,200.0,1,0.18,10044.0,750,350,250,0,0,0
31,大型医院2,4500,1.2,1.2,0.8,0.81,0.20400636604774533,0,45198.0,750,712.5,0,350,387.5,0,250,200.0,0,0.81,45198.0,750,350,250,1,1,1
32,大型医院3,3000,1.2,1.2,0.8,0.54,0.20400636604774533,0,30132.0,750,712.5,0,350,387.5,0,250,200.0,0,0.54,30132.0,750,350,250,1,1,1
