,医院名称,年手术台数,当前HC,推广费用,产品A价格,产品A份额,产品B价格,产品B份额,产品C价格,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌,HC敏感度,推广敏感度,价格敏感度,HC下限,产品A均价,产品B均价,产品C均价
0,中型医院1,998,0.17964000000000002,6035.904,800,0,500,60,300,40,0.17964000000000002,7243.0848,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
1,中型医院10,700,0.126,4233.6,800,0,500,60,300,40,0.126,5080.3200000000015,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
2,中型医院11,650,0.11699999999999999,3931.2,800,0,500,60,300,40,0.11699999999999999,4717.440000000001,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
3,中型医院12,600,0.10800000000000001,3628.8,800,0,500,60,300,40,0.10800000000000001,4354.56,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
4,中型医院13,550,0.099,3326.4,800,0,500,60,300,40,0.099,3991.68,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
5,中型医院14,500,0.09,3024.0,800,0,500,60,300,40,0.09,3628.8,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
6,中型医院15,450,0.081,2721.6,800,0,500,60,300,40,0.081,3265.92,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
7,中型医院16,450,0.081,2721.6,800,0,500,60,300,40,0.081,3265.92,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
8,中型医院17,450,0.081,2721.6,800,0,500,60,300,40,0.081,3265.92,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
9,中型医院18,450,0.081,2721.6,800,0,500,60,300,40,0.081,3265.92,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
10,中型医院19,450,0.081,2721.6,800,0,500,60,300,40,0.081,3265.92,800,500,300,0,0,0,1.2,1.0,1.0,0,600,480,320
