,医院名称,年手术台数,HC敏感度,推广敏感度,价格敏感度,当前HC,份额,HC下限,推广费用,产品A价格,产品A均价,产品A份额,产品B价格,产品B均价,产品B份额,产品C价格,产品C均价,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌
0,中型医院1,998,1.2,1.0,1.0,0,0.1908011368396512,0,7243.08,800,712.5,0,500,387.5,0,300,200.0,0,0,7243.08,800,500,300,2,0,0
1,中型医院10,700,1.2,1.0,1.0,0,0.1802394391515369,0,5080.32,800,712.5,0,500,387.5,0,300,200.0,0,0,5080.32,800,500,300,0,0,0
2,中型医院11,650,1.2,1.0,1.0,0,0.18023943915153692,0,4717.44,800,712.5,0,500,387.5,0,300,200.0,0,0,4717.44,800,500,300,0,0,0
3,中型医院12,600,1.2,1.0,1.0,0,0.18023943915153695,0,4354.56,800,712.5,0,500,387.5,0,300,200.0,0,0,4354.56,800,500,300,0,0,0
4,中型医院13,550,1.2,1.0,1.0,0,0.1802394391515369,0,3991.68,800,712.5,0,500,387.5,0,300,200.0,0,0,3991.68,800,500,300,0,0,0
5,中型医院14,500,1.2,1.0,1.0,0,0.18023943915153695,0,3628.8,800,712.5,0,500,387.5,0,300,200.0,0,0,3628.8,800,500,300,0,0,0
6,中型医院15,450,1.2,1.0,1.0,0,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0,3265.92,800,500,300,0,0,0
7,中型医院16,450,1.2,1.0,1.0,0,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0,3265.92,800,500,300,0,0,0
8,中型医院17,450,1.2,1.0,1.0,0,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0,3265.92,800,500,300,0,0,0
9,中型医院18,450,1.2,1.0,1.0,0,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0,3265.92,800,500,300,0,0,0
10,中型医院19,450,1.2,1.0,1.0,0,0.18023943915153698,0,3265.92,800,712.5,0,500,387.5,0,300,200.0,0,0,3265.92,800,500,300,0,0,0
11,中型医院2,925,1.2,1.0,1.0,0,0.18023943915153692,0,6713.28,800,712.5,0,500,387.5,0,300,200.0,0,0,6713.28,800,500,300,0,0,0
12,中型医院20,400,1.2,1.0,1.0,0,0.18023943915153695,0,2903.04,800,712.5,0,500,387.5,0,300,200.0,0,0,2903.04,800,500,300,0,0,0
13,中型医院3,900,1.2,1.0,1.0,0,0.18023943915153692,0,6531.84,800,712.5,0,500,387.5,0,300,200.0,0,0,6531.84,800,500,300,0,0,0
14,中型医院4,850,1.2,1.0,1.0,0,0.18023943915153695,0,6168.96,800,712.5,0,500,387.5,0,300,200.0,0,0,6168.96,800,500,300,0,0,0
15,中型医院5,800,1.2,1.0,1.0,0,0.18023943915153695,0,5806.08,800,712.5,0,500,387.5,0,300,200.0,0,0,5806.08,800,500,300,0,0,0
16,中型医院6,800,1.2,1.0,1.0,0,0.18023943915153695,0,5806.08,800,712.5,0,500,387.5,0,300,200.0,0,0,5806.08,800,500,300,0,0,0
17,中型医院7,800,1.2,1.0,1.0,0,0.18023943915153695,0,5806.08,800,712.5,0,500,387.5,0,300,200.0,0,0,5806.08,800,500,300,0,0,0
18,中型医院8,800,1.2,1.0,1.0,0,0.18023943915153695,0,5806.08,800,712.5,0,500,387.5,0,300,200.0,0,0,5806.08,800,500,300,0,0,0
19,中型医院9,750,1.2,1.0,1.0,0,0.18023943915153692,0,5443.2,800,712.5,0,500,387.5,0,300,200.0,0,0,5443.2,800,500,300,0,0,0
20,大型医院1,5000,1.2,1.2,0.8,3,0.499027409372237,0,100800.0,800,712.5,0,500,387.5,0,300,200.0,0,3,100800.0,800,500,300,1,1,1
21,大型医院10,1500,1.2,1.2,0.8,1,0.499027409372237,0,30240.0,800,712.5,0,500,387.5,0,300,200.0,0,1,30240.0,800,500,300,0,0,0
22,大型医院11,1500,1.2,1.2,0.8,1,0.499027409372237,0,30240.0,800,712.5,0,500,387.5,0,300,200.0,0,1,30240.0,800,500,300,0,0,0
23,大型医院12,1200,1.2,1.2,0.8,1,0.499027409372237,0,24192.0,800,712.5,0,500,387.5,0,300,200.0,0,1,24192.0,800,500,300,0,0,0
24,大型医院13,1200,1.2,1.2,0.8,1,0.499027409372237,0,24192.0,800,712.5,0,500,387.5,0,300,200.0,0,1,24192.0,800,500,300,0,0,0
25,大型医院14,1200,1.2,1.2,0.8,1,0.499027409372237,0,24192.0,800,712.5,0,500,387.5,0,300,200.0,0,1,24192.0,800,500,300,0,0,0
26,大型医院15,1000,1.2,1.2,0.8,1,0.499027409372237,0,20160.0,800,712.5,0,500,387.5,0,300,200.0,0,1,20160.0,800,500,300,0,0,0
27,大型医院16,1000,1.2,1.2,0.8,1,0.499027409372237,0,20160.0,800,712.5,0,500,387.5,0,300,200.0,0,1,20160.0,800,500,300,0,0,0
28,大型医院17,1000,1.2,1.2,0.8,1,0.499027409372237,0,20160.0,800,712.5,0,500,387.5,0,300,200.0,0,1,20160.0,800,500,300,0,0,0
29,大型医院18,1000,1.2,1.2,0.8,1,0.499027409372237,0,20160.0,800,712.5,0,500,387.5,0,300,200.0,0,1,20160.0,800,500,300,0,0,0
30,大型医院19,1000,1.2,1.2,0.8,1,0.499027409372237,0,20160.0,800,712.5,0,500,387.5,0,300,200.0,0,1,20160.0,800,500,300,0,0,0
31,大型医院2,4500,1.2,1.2,0.8,2,0.499027409372237,0,90720.0,800,712.5,0,500,387.5,0,300,200.0,0,2,90720.0,800,500,300,1,1,1
32,大型医院3,3000,1.2,1.2,0.8,2,0.499027409372237,0,60480.0,800,712.5,0,500,387.5,0,300,200.0,0,2,60480.0,800,500,300,1,1,1
33,大型医院4,2500,1.2,1.2,0.8,1,0.499027409372237,0,50400.0,800,712.5,0,500,387.5,0,300,200.0,0,1,50400.0,800,500,300,1,1,1
34,大型医院5,2000,1.2,1.2,0.8,1,0.499027409372237,0,40320.0,800,712.5,0,500,387.5,0,300,200.0,0,1,40320.0,800,500,300,1,1,1
35,大型医院6,1500,1.2,1.2,0.8,1,0.499027409372237,0,30240.0,800,712.5,0,500,387.5,0,300,200.0,0,1,30240.0,800,500,300,1,1,1
36,大型医院7,1500,1.2,1.2,0.8,1,0.499027409372237,0,30240.0,800,712.5,0,500,387.5,0,300,200.0,0,1,30240.0,800,500,300,0,0,0
37,大型医院8,1500,1.2,1.2,0.8,1,0.499027409372237,0,30240.0,800,712.5,0,500,387.5,0,300,200.0,0,1,30240.0,800,500,300,0,0,0
38,大型医院9,1500,1.2,1.2,0.8,1,0.499027409372237,0,30240.0,800,712.5,0,500,387.5,0,300,200.0,0,1,30240.0,800,500,300,0,0,0
39,小型医院1,380,1.0,0.8,1.2,0,0.11930494803125766,0,1838.59,800,712.5,0,500,387.5,0,300,200.0,0,0,1838.59,800,500,300,0,0,0
40,小型医院10,200,1.0,0.8,1.2,0,0.11930501127102479,0,967.68,800,712.5,0,500,387.5,0,300,200.0,0,0,967.68,800,500,300,0,0,0
41,小型医院11,200,1.0,0.8,1.2,0,0.11930501127102479,0,967.68,800,712.5,0,500,387.5,0,300,200.0,0,0,967.68,800,500,300,0,0,0
42,小型医院12,200,1.0,0.8,1.2,0,0.11930501127102479,0,967.68,800,712.5,0,500,387.5,0,300,200.0,0,0,967.68,800,500,300,0,0,0
43,小型医院13,200,1.0,0.8,1.2,0,0.11930501127102479,0,967.68,800,712.5,0,500,387.5,0,300,200.0,0,0,967.68,800,500,300,0,0,0
44,小型医院14,200,1.0,0.8,1.2,0,0.11930501127102479,0,967.68,800,712.5,0,500,387.5,0,300,200.0,0,0,967.68,800,500,300,0,0,0
45,小型医院15,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
46,小型医院16,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
47,小型医院17,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
48,小型医院18,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
49,小型医院19,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
50,小型医院2,360,1.0,0.8,1.2,0,0.1193048777648375,0,1741.82,800,712.5,0,500,387.5,0,300,200.0,0,0,1741.82,800,500,300,0,0,0
51,小型医院20,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
52,小型医院21,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
53,小型医院22,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
54,小型医院23,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
55,小型医院24,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
56,小型医院25,200,1.0,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
57,小型医院3,340,1.0,0.8,1.2,0,0.11930515263046663,0,1645.06,800,712.5,0,500,387.5,0,300,200.0,0,0,1645.06,800,500,300,0,0,0
58,小型医院4,320,1.0,0.8,1.2,0,0.11930508636823475,0,1548.29,800,712.5,0,500,387.5,0,300,200.0,0,0,1548.29,800,500,300,0,0,0
59,小型医院5,300,1.0,0.8,1.2,0,0.11930501127102479,0,1451.52,800,712.5,0,500,387.5,0,300,200.0,0,0,1451.52,800,500,300,0,0,0
60,小型医院6,280,1.0,0.8,1.2,0,0.119304925445624,0,1354.75,800,712.5,0,500,387.5,0,300,200.0,0,0,1354.75,800,500,300,0,0,0
61,小型医院7,260,1.0,0.8,1.2,0,0.11930482641629156,0,1257.98,800,712.5,0,500,387.5,0,300,200.0,0,0,1257.98,800,500,300,0,0,0
62,小型医院8,240,1.0,0.8,1.2,0,0.11930521153021867,0,1161.22,800,712.5,0,500,387.5,0,300,200.0,0,0,1161.22,800,500,300,0,0,0
63,小型医院9,220,1.0,0.8,1.2,0,0.11930512050332534,0,1064.45,800,712.5,0,500,387.5,0,300,200.0,0,0,1064.45,800,500,300,0,0,0
64,私立医院1,2500,0.8,0.8,1.2,0,0.11930501127102479,0,12096.0,800,712.5,0,500,387.5,0,300,200.0,0,0,12096.0,800,500,300,0,0,0
65,私立医院2,2000,0.8,0.8,1.2,0,0.11930501127102477,0,9676.8,800,712.5,0,500,387.5,0,300,200.0,0,0,9676.8,800,500,300,0,0,0
66,私立医院3,800,0.8,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
67,私立医院4,500,0.8,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
68,私立医院5,300,0.8,0.8,1.2,0,0.0,0,0.0,800,712.5,0,500,387.5,0,300,200.0,0,0,0.0,800,500,300,0,0,0
