,医院名称,年手术台数,HC敏感度,推广敏感度,价格敏感度,当前HC,份额,HC下限,推广费用,产品A价格,产品A均价,产品A份额,产品B价格,产品B均价,产品B份额,产品C价格,产品C均价,产品C份额,HC决策,推广决策,产品A价格决策,产品B价格决策,产品C价格决策,渠道牌,准入牌,信息牌
0,中型医院1,998,1.2,1.0,1.0,0.19960000000000008,0.1969709831368539,0,7904.16,500,712.5,0,300,387.5,0,100,200.0,0,0.19960000000000008,7904.16,500,300,100,0,0,0
1,中型医院10,700,1.2,1.0,1.0,0.0,0.19954700701060582,0,5544.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,5544.0,500,300,100,0,0,0
2,中型医院11,650,1.2,1.0,1.0,0.0,0.19954700701060582,0,5148.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,5148.0,500,300,100,0,0,0
3,中型医院12,600,1.2,1.0,1.0,0.0,0.19954700701060582,0,4752.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4752.0,500,300,100,0,0,0
4,中型医院13,550,1.2,1.0,1.0,0.0,0.19954700701060582,0,4356.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4356.0,500,300,100,0,0,0
5,中型医院14,500,1.2,1.0,1.0,0.0,0.19954700701060582,0,3960.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3960.0,500,300,100,0,0,0
6,中型医院15,450,1.2,1.0,1.0,0.0,0.19954700701060585,0,3564.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3564.0,500,300,100,0,0,0
7,中型医院16,450,1.2,1.0,1.0,0.0,0.19954700701060585,0,3564.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3564.0,500,300,100,0,0,0
8,中型医院17,450,1.2,1.0,1.0,0.0,0.19954700701060585,0,3564.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3564.0,500,300,100,0,0,0
9,中型医院18,450,1.2,1.0,1.0,0.0,0.19954700701060585,0,3564.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3564.0,500,300,100,0,0,0
10,中型医院19,450,1.2,1.0,1.0,0.0,0.19954700701060585,0,3564.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3564.0,500,300,100,0,0,0
11,中型医院2,925,1.2,1.0,1.0,0.185,0.19954700701060582,0,7326.0,500,712.5,0,300,387.5,0,100,200.0,0,0.185,7326.0,500,300,100,0,0,0
12,中型医院20,400,1.2,1.0,1.0,0.0,0.19954700701060582,0,3168.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,3168.0,500,300,100,0,0,0
13,中型医院3,900,1.2,1.0,1.0,0.18,0.19954700701060582,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,0,0,0
14,中型医院4,850,1.2,1.0,1.0,0.17,0.19954700701060585,0,6732.0,500,712.5,0,300,387.5,0,100,200.0,0,0.17,6732.0,500,300,100,0,0,0
15,中型医院5,800,1.2,1.0,1.0,0.16,0.19954700701060582,0,6336.0,500,712.5,0,300,387.5,0,100,200.0,0,0.16,6336.0,500,300,100,0,0,0
16,中型医院6,800,1.2,1.0,1.0,0.16,0.19954700701060582,0,6336.0,500,712.5,0,300,387.5,0,100,200.0,0,0.16,6336.0,500,300,100,0,0,0
17,中型医院7,800,1.2,1.0,1.0,0.16,0.19954700701060582,0,6336.0,500,712.5,0,300,387.5,0,100,200.0,0,0.16,6336.0,500,300,100,0,0,0
18,中型医院8,800,1.2,1.0,1.0,0.16,0.19954700701060582,0,6336.0,500,712.5,0,300,387.5,0,100,200.0,0,0.16,6336.0,500,300,100,0,0,0
19,中型医院9,750,1.2,1.0,1.0,0.15,0.19954700701060582,0,5940.0,500,712.5,0,300,387.5,0,100,200.0,0,0.15,5940.0,500,300,100,0,0,0
20,大型医院1,5000,1.2,1.2,0.8,0.6,0.119342175066313,0,23760.0,500,712.5,0,300,387.5,0,100,200.0,0,0.6,23760.0,500,300,100,1,0,1
21,大型医院10,1500,1.2,1.2,0.8,0.18,0.119342175066313,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,0,0,0
22,大型医院11,1500,1.2,1.2,0.8,0.18,0.119342175066313,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,0,0,0
23,大型医院12,1200,1.2,1.2,0.8,0.0,0.11934217506631298,0,5702.399999999999,500,712.5,0,300,387.5,0,100,200.0,0,0.0,5702.399999999999,500,300,100,0,0,0
24,大型医院13,1200,1.2,1.2,0.8,0.0,0.11934217506631298,0,5702.399999999999,500,712.5,0,300,387.5,0,100,200.0,0,0.0,5702.399999999999,500,300,100,0,0,0
25,大型医院14,1200,1.2,1.2,0.8,0.0,0.11934217506631298,0,5702.399999999999,500,712.5,0,300,387.5,0,100,200.0,0,0.0,5702.399999999999,500,300,100,0,0,0
26,大型医院15,1000,1.2,1.2,0.8,0.0,0.119342175066313,0,4752.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4752.0,500,300,100,0,0,0
27,大型医院16,1000,1.2,1.2,0.8,0.0,0.119342175066313,0,4752.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4752.0,500,300,100,0,0,0
28,大型医院17,1000,1.2,1.2,0.8,0.0,0.119342175066313,0,4752.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4752.0,500,300,100,0,0,0
29,大型医院18,1000,1.2,1.2,0.8,0.0,0.119342175066313,0,4752.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4752.0,500,300,100,0,0,0
30,大型医院19,1000,1.2,1.2,0.8,0.0,0.119342175066313,0,4752.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4752.0,500,300,100,0,0,0
31,大型医院2,4500,1.2,1.2,0.8,0.54,0.119342175066313,0,21384.0,500,712.5,0,300,387.5,0,100,200.0,0,0.54,21384.0,500,300,100,1,1,1
32,大型医院3,3000,1.2,1.2,0.8,0.36,0.119342175066313,0,14256.0,500,712.5,0,300,387.5,0,100,200.0,0,0.36,14256.0,500,300,100,1,1,1
33,大型医院4,2500,1.2,1.2,0.8,0.3,0.119342175066313,0,11880.0,500,712.5,0,300,387.5,0,100,200.0,0,0.3,11880.0,500,300,100,1,1,1
34,大型医院5,2000,1.2,1.2,0.8,0.24,0.119342175066313,0,9504.0,500,712.5,0,300,387.5,0,100,200.0,0,0.24,9504.0,500,300,100,1,1,1
35,大型医院6,1500,1.2,1.2,0.8,0.18,0.119342175066313,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,1,1,1
36,大型医院7,1500,1.2,1.2,0.8,0.18,0.119342175066313,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,0,0,0
37,大型医院8,1500,1.2,1.2,0.8,0.18,0.119342175066313,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,0,0,0
38,大型医院9,1500,1.2,1.2,0.8,0.18,0.119342175066313,0,7128.0,500,712.5,0,300,387.5,0,100,200.0,0,0.18,7128.0,500,300,100,0,0,0
39,小型医院1,380,1.0,0.8,1.2,0.0,0.2972221470655482,0,4514.399999999999,500,712.5,0,300,387.5,0,100,200.0,0,0.0,4514.399999999999,500,300,100,0,0,0
40,小型医院10,200,1.0,0.8,1.2,0.0,0.29722212588867697,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
41,小型医院11,200,1.0,0.8,1.2,0.0,0.29722212588867697,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
42,小型医院12,200,1.0,0.8,1.2,0.0,0.29722212588867697,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
43,小型医院13,200,1.0,0.8,1.2,0.0,0.29722212588867697,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
44,小型医院14,200,1.0,0.8,1.2,0.0,0.29722212588867697,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
45,小型医院15,200,1.0,0.8,1.2,0.0,0.29726681127982646,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
46,小型医院16,200,1.0,0.8,1.2,0.0,0.29726681127982646,0,2376.0,500,712.5,0,300,387.5,0,100,200.0,0,0.0,2376.0,500,300,100,0,0,0
